State,District,Sub District,% Rural Population,% Rural Households,OFC Density
UTTAR PRADESH,Kanpur Nagar,Kanpur,15.51833339384624,15.36758517217404,1.0474
PUNJAB,Amritsar,Amritsar- II,15.866787637770685,14.369948323837288,1.2631
ANDHRA PRADESH,Y.S.R.,Proddatur,15.873438942517549,16.832192331179893,0.014
KERALA,Kollam,Kollam,16.352139496790276,17.046655345813683,0.9609
JHARKHAND,Ranchi,Kanke,16.465287639687013,16.046572289013778,1.0971
MAHARASHTRA,Chandrapur,Chandrapur,16.592563071085483,17.445274136243818,0.7589
DAMAN & DIU,Daman,Daman,16.902491460614208,14.71534063839924,0.1096
RAJASTHAN,Jodhpur,Jodhpur,17.40820069887043,16.108130319001827,0.4374
ANDHRA PRADESH,Chittoor,Chittoor,17.465322156228854,17.523557612828565,1.6814
MAHARASHTRA,Aurangabad,Aurangabad,17.68565129963141,17.352607481922757,0.4543
MAHARASHTRA,Amravati,Amravati,17.920228534605563,19.501933069313925,0.5071
RAJASTHAN,Jaipur,Sanganer,18.03585866085866,14.667909603302046,0.8447
MAHARASHTRA,Thane,Kalyan,18.09051517902259,17.67670875469977,0.601
GUJARAT,Bhavnagar,Bhavnagar,18.297030809621003,15.984106228008669,0.2509
UTTAR PRADESH,Agra,Agra,18.86100002057937,17.58181479084157,0.8284
MAHARASHTRA,Nanded,Nanded,19.081102576794944,19.01338677115848,0.8762
MEGHALAYA,East Khasi Hills,Mylliem,19.90992211310532,18.7291551239014,0.1725
ODISHA,Jharsuguda,Jharsuguda,20.426325345839743,21.736956754633432,0.6179
DELHI,North West,Narela,20.83421305745185,20.06844353408438,0.0745
KARNATAKA,Mysore,Mysore,20.87281005611,20.27260024078465,0.5676
ODISHA,Kendujhar,Barbil,20.908118388208724,20.091058287892423,0.2319
KARNATAKA,Dakshina Kannada,Mangalore,21.11729113756055,20.34350439204808,0.0441
BIHAR,Bhagalpur,Jagdishpur,21.904472322556632,23.021165840003928,2.2749
BIHAR,Bhagalpur,Jagdishpur,21.904472322556632,23.021165840003928,2.2557
ANDHRA PRADESH,Visakhapatnam,Pendurthi,22.07978179338561,21.83226495726496,1.1119
MAHARASHTRA,Thane,Ambarnath,22.11253405030601,21.19463148733453,0.1913
ANDHRA PRADESH,Chittoor,Madanapalle,22.729884811005995,23.02434407697565,0.4224
KERALA,Ernakulam,Kochi,23.026020637056977,23.34622063497264,0.3734
ODISHA,Koraput,Sunabeda,23.254751461988302,23.889908256880734,0.3864
MADHYA PRADESH,Ujjain,Ujjain,23.39562213968592,22.22492271936687,0.0271
KERALA,Alappuzha,Ambalappuzha,23.559349607794857,23.65301477913556,1.1539
MAHARASHTRA,Chandrapur,Ballarpur,23.6762301174372,25.14543004568311,0.6668
GUJARAT,Jamnagar,Jamnagar,23.800396268316845,22.00541974433442,0.5006
MIZORAM,Champhai,Champhai,23.94516728624536,22.44288830214671,0.1536
MAHARASHTRA,Thane,Bhiwandi,24.32533779107156,25.703845053767573,0.2224
MAHARASHTRA,Pune,Haveli,25.11232432836354,23.47690141181244,0.1949
BIHAR,Katihar,Katihar,25.163058508406948,25.124900556881464,2.3289
ANDHRA PRADESH,Anantapur,Hindupur,25.47976299265985,26.361502347417844,0.2381
KERALA,Kozhikode,Kozhikode,26.03156458350789,26.813583543304127,0.4456
GUJARAT,Junagadh,Junagadh,26.15242820081016,25.920176434062054,0.9548
KERALA,Thrissur,Chavakkad,26.327569877128383,27.334005233423643,0.4391
NAGALAND,Mon,Naginimora,26.372130998820648,26.26475548060708,0.2069
MIZORAM,Lunglei,Lunglei,26.420329883069616,27.109797509747203,0.2302
BIHAR,Gaya,Gaya Town C.D.Block,26.42668125807629,27.5485472909474,2.7886
ANDHRA PRADESH,Anantapur,Guntakal,26.43966094783141,26.34797962996136,0.1435
ANDHRA PRADESH,Krishna,Gudivada,26.81027915244684,29.002993322588072,0.4166
RAJASTHAN,Ajmer,Ajmer,27.6303957397671,25.80647219864583,0.409
JHARKHAND,Ranchi,Khelari,27.958680116084327,27.57593805836808,0.2996
ANDHRA PRADESH,Krishna,Ibrahimpatnam,28.55087438078776,29.64746469256477,0.6797
ANDHRA PRADESH,Anantapur,Kadiri,28.669649765100942,30.579589109737764,0.3129
UTTAR PRADESH,Jhansi,Jhansi,28.89624474671246,28.997698109511216,0.0355
ANDHRA PRADESH,Krishna,Machilipatnam,28.90417723320025,30.25637926606336,0.212
MIZORAM,Saiha,Saiha,29.329318060285388,31.95982868114016,0.2363
ANDHRA PRADESH,Anantapur,Dharmavaram,29.33980368624586,29.83143316779744,0.3525
JAMMU & KASHMIR,Jammu,Jammu,29.359963311639792,28.879156330076672,0.0604
GUJARAT,Surendranagar,Wadhwan,29.421554303207405,27.942977909997712,0.5106
KERALA,Alappuzha,Karthikappally,29.4250769942242,29.161693228803603,0.5945
UTTAR PRADESH,Gautam Buddha Nagar,Dadri,29.456901358715,22.948617915296943,0.5557
JHARKHAND,Ramgarh,Ramgarh,29.58268704309082,29.70546800773188,0.8379
JHARKHAND,Ramgarh,Ramgarh,29.58268704309082,29.70546800773188,0.8277
UTTAR PRADESH,Meerut,Meerut,30.54048769906339,28.3173079584392,0.047
JHARKHAND,Bokaro,Chas,30.62237368484464,30.803054555577347,0.4963
KERALA,Ernakulam,Aluva,30.891018086796123,31.60001725551098,0.2591
ODISHA,Mayurbhanj,Rairangpur Town,31.23941887475885,32.493724573703794,0.3551
ANDHRA PRADESH,Guntur,Tenali,31.285125671267465,32.603082821848766,0.0609
GUJARAT,Jamnagar,Okhamandal,31.563981624781977,28.36713711561828,0.0066
ANDHRA PRADESH,Chittoor,Puttur,31.67268777000228,31.76202531645569,0.5238
MAHARASHTRA,Akola,Akola,31.84811106326616,33.916709577754894,0.2679
MAHARASHTRA,Akola,Akola,31.84811106326616,33.916709577754894,0.4324
PUDUCHERRY,Karaikal,Karaikal Taluk,31.968099861303745,32.12651904240689,0.1432
ANDHRA PRADESH,Y.S.R.,Jammalamadugu,32.48601996782677,34.42837050431987,0.0524
UTTAR PRADESH,Bareilly,Bareilly,32.67042837543557,31.146583137995176,1.0033
HARYANA,Ambala,Ambala,32.856746252082175,30.59317492824793,0.6354
MIZORAM,Kolasib,Bilkhawthlir,33.068887103116936,32.14194100042753,0.0427
RAJASTHAN,Bhilwara,Bhilwara,33.45518958837208,33.401069890232044,0.1056
MAHARASHTRA,Raigarh,Panvel,33.65301051935658,31.94472794901454,0.6723
KERALA,Kollam,Karunagappally,33.672883988414235,33.91342566183828,0.3621
BIHAR,Pashchim Champaran,Bettiah,33.69536128456735,33.182602776359616,1.1179
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Venkatagiri,33.79906518570639,35.3331706126434,0.0965
ANDHRA PRADESH,Srikakulam,Srikakulam,34.44529165078155,33.9667846447046,3.5589
KARNATAKA,Gulbarga,Gulbarga,34.54719641372329,33.35925601892356,0.1074
ANDHRA PRADESH,Anantapur,Tadpatri,34.78646185010128,36.1646234676007,0.2176
HARYANA,Panipat,Panipat,34.89731365757408,33.52923779739619,0.6312
KERALA,Kozhikode,Vadakara,34.92742973962009,36.036656112957466,0.3109
PUNJAB,Sahibzada Ajit Singh Nagar,SAS Nagar (Mohali),34.97433526011561,30.9728414508938,0.417
GUJARAT,Navsari,Navsari,35.24376843444566,35.29830962629343,0.8728
ANDHRA PRADESH,Chittoor,Nagari,35.25563690822864,37.81428384679071,0.4685
KERALA,Alappuzha,Cherthala,35.68460371837091,35.54665140240412,0.3469
GUJARAT,Gandhinagar,Gandhinagar,35.758621366394465,34.472262384902216,0.532
MIZORAM,Serchhip,Serchhip,35.769178608562,35.09163533834587,0.1201
ODISHA,Kendujhar,Joda,35.856557264298885,34.99664081109143,0.3327
ASSAM,Jorhat,Jorhat East,35.97733856027185,34.53562369275956,0.6139
KARNATAKA,Davanagere,Davanagere,36.21929707512988,35.9563360227812,0.186
KARNATAKA,Shimoga,Shimoga,36.40158951675852,35.36704619858675,0.4071
KERALA,Kannur,Thalassery,36.507520570200725,37.73542506425471,0.4077
BIHAR,Purnia,Purnia East,36.61991439978802,36.54866425653787,0.6742
UTTAR PRADESH,Firozabad,Firozabad,36.80311939770856,36.78374904225477,0.559
ANDHRA PRADESH,Chittoor,Palamaner,36.84791947956303,36.908727514990005,0.1956
JHARKHAND,Bokaro,Chandrapura,36.90622115282759,36.1194501501027,0.4986
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Gudur,36.94661738158687,37.48989163836325,0.2978
ASSAM,Chirang,Kokrajhar (Pt),37.052861233580295,36.22245540398741,0.2225
MAHARASHTRA,Ahmadnagar,Nagar,37.40431902041389,36.51199425160292,0.6473
JHARKHAND,Ramgarh,Patratu,37.4522375232508,36.682158697820505,0.2348
ODISHA,Anugul,Colliery,37.49717459394879,37.068362924647005,0.4843
RAJASTHAN,Pali,Pali,37.54512929372994,39.36164322887831,0.5129
GUJARAT,Surat,Chorasi,37.607348316665,35.745831455610634,1.1033
MAHARASHTRA,Yavatmal,Yavatmal,37.95307665191336,38.95235565001771,0.3376
JHARKHAND,Saraikela-Kharsawan,Adityapur(Gamharia),38.52015064451002,38.0019259281904,0.7206
MAHARASHTRA,Nashik,Malegaon,38.52441518050553,42.328942753819,0.0324
MAHARASHTRA,Nashik,Malegaon,38.52441518050553,42.328942753819,0.0757
BIHAR,Munger,Munger,38.59875875092115,39.71717985254941,0.4314
ODISHA,Kendujhar,Kendujhar Town,38.72370550161812,38.12658917544497,0.9143
JHARKHAND,Kodarma,Kodarma,39.0313016428502,37.64530722098151,0.379
GUJARAT,Bharuch,Anklesvar,39.03851759844865,36.81726992738267,0.4952
HARYANA,Panchkula,Panchkula,39.14068460403845,34.06034169392948,0.4726
ANDHRA PRADESH,Anantapur,Rayadurg,39.86912192889348,41.363006829361474,0.2519
BIHAR,Nalanda,Bihar,39.883799235170045,40.49084258047152,0.0294
JHARKHAND,Palamu,Medininagar(Daltonganj),40.31379590864898,42.82556591211718,1.0355
ODISHA,Gajapati,Parlakhemundi,40.40569257518192,41.0665929814866,0.3676
MAHARASHTRA,Wardha,Wardha,40.52691649229599,41.39280404400832,0.9341
JHARKHAND,Hazaribagh,Hazaribag,40.77104978317672,40.02305678221111,1.3942
GUJARAT,Bharuch,Bharuch,40.89481721128709,39.152503588442094,0.7184
UTTAR PRADESH,Moradabad,Moradabad,40.9722867486167,38.09721556726827,0.7695
ODISHA,Koraput,Damonjodi,40.99418979987088,40.153420523138834,0.2375
ANDHRA PRADESH,Srikakulam,Palasa,41.04929729064797,41.60118484387213,0.9863
KARNATAKA,Bellary,Hospet,41.080151568182856,38.81940758042255,0.0823
UTTARAKHAND,Udham Singh Nagar,Kichha,41.11306688225632,41.06127180095426,0.3103
JHARKHAND,Deoghar,Deoghar,41.30902744669724,41.98160099727013,0.9898
ODISHA,Kendujhar,Bolani,41.43950382633922,40.7917760279965,0.2174
UTTAR PRADESH,Aligarh,Koil,41.53750370819272,41.46732239219682,0.8771
NAGALAND,Peren,Peren,41.543060825572034,44.39631835408771,0.346
ANDHRA PRADESH,Chittoor,Srikalahasti,41.83540763021571,43.7205966724039,0.4389
GUJARAT,Valsad,Pardi,41.891891891891895,40.38186433810457,0.0874
MAHARASHTRA,Latur,Latur,41.93729101637349,42.23742586976981,0.0021
ODISHA,Jajapur,Jajapur Road,42.06505041050736,41.9344153693276,0.4729
PUNJAB,Ludhiana,Khanna,42.35774661826295,41.670191686889154,1.2403
RAJASTHAN,Tonk,Tonk,42.36771638169089,44.66482837311021,0.5357
GUJARAT,Junagadh,Patan-Veraval,42.3870979745234,40.24349419454869,0.2376
KERALA,Malappuram,Ponnani,42.642667944538935,43.779801768015005,0.3874
MADHYA PRADESH,Dewas,Dewas,42.77079858009124,42.05951828148029,0.1684
ASSAM,Dima Hasao,Haflong,42.9673752948997,42.27491908316269,0.0059
ANDHRA PRADESH,Chittoor,Tirupati (Rural),42.97415811656521,43.46079199155572,1.8017
ANDHRA PRADESH,Chittoor,Pileru,43.178207516160846,44.42451735415128,0.3919
MADHYA PRADESH,Chhindwara,Parasia,43.28135333994709,42.56649511807994,0.4556
GUJARAT,Anand,Anand,43.300831928732144,42.995458559354105,0.8563
ODISHA,Bargarh,Bargarh,43.37998306230998,44.58906266400756,0.7544
KERALA,Kottayam,Kottayam,43.45458429935827,43.12620090936186,0.4712
BIHAR,Bhojpur,Arrah,43.4890125330186,42.96295220529503,0.9405
GUJARAT,Porbandar,Porbandar,43.53377008267041,42.84998717212565,0.2998
MADHYA PRADESH,Chhindwara,Chhindwara,43.6320978572954,42.84247683069177,1.0055
BIHAR,Muzaffarpur,Musahri,43.97289894345114,45.6286968135852,1.011
ASSAM,Kamrup Metropolitan,Azara,44.01917599265335,42.79470017757137,0.0116
RAJASTHAN,Bharatpur,Bharatpur,44.187720053419866,41.83683810488979,0.7599
PUNJAB,Patiala,Patiala,44.4098880419081,41.65074223392603,1.1385
RAJASTHAN,Baran,Baran,44.74865959588865,43.77536231884058,0.4865
HARYANA,Rohtak,Rohtak,44.831601137366405,43.51818534100974,0.0023
MAHARASHTRA,Jalna,Jalna,44.97743816206759,46.48086539036198,0.1177
