Sub-dist Name,OFC Length,Area,Density
Karanpur,223.0746,826.340524475433,0.2699548108712318
Ganganagar,788.1897,990.6439689954964,0.7956336733157695
Sadulshahar,146.0073,775.4209784432996,0.18829423507875384
Padampur,270.2864,856.8673576334221,0.3154355193859908
Raisinghnagar,236.5234,1326.376897580149,0.1783229189467299
Anupgarh,278.6742,1160.1026415412211,0.24021512409434337
Gharsana,232.5909,1382.3998081769207,0.16825154244395904
Vijainagar,206.1786,845.0839792890539,0.24397409612882784
Suratgarh,272.4149,2814.7545020109515,0.09678105135114909
Sangaria,133.457,651.2441437188425,0.20492621897206117
Tibi,166.6824,740.6611775379896,0.22504541220057483
Hanumangarh,415.4776,1216.0675554173893,0.3416566770070567
Pilibanga,202.8859,1007.660399476733,0.20134352814237458
Rawatsar,433.4077,1866.901246835019,0.23215352217197427
Nohar,426.3167,2450.9235649227817,0.17394124651677234
Bhadra,253.6628,1722.5451724985764,0.14726046320867073
Lunkaransar,1.7834,5099.147276718259,0.00034974475205740125
Nokha,30.2905,3790.566966735408,0.007991020938508158
Khajuwala,1.0305,2036.4480638706927,0.0005060281272488337
Taranagar,51.2125,1804.5020974793256,0.028380404806144455
Rajgarh,216.4325,2209.157456095914,0.09797060838863234
Rajgarh,216.4325,1208.263178724114,0.17912695165348463
Sardarshahar,302.1719,3832.098100733208,0.07885286129344769
Churu,361.2298,1607.1069768030031,0.2247702270066612
Ratangarh,211.3538,1692.635584889663,0.12486668830950841
Sujangarh,1.6223,2689.496922290211,0.0006031983106411398
Jhunjhunun,607.6437,1618.9133595884764,0.3753404692110648
Chirawa,493.1093,1307.2548865519811,0.37720975845852556
Buhana,170.2335,648.4590550920688,0.262520044501237
Khetri,200.3233,812.5411240965788,0.2465392754400324
Nawalgarh,292.2365,690.3867618438845,0.4232938928601338
Udaipurwati,185.7829,850.4357255253342,0.21845613304313802
Behror,251.7861,741.7311853033036,0.33945734652782783
Mandawar,234.7753,570.5767633966684,0.41147013874587596
Kotkasim,153.646,339.6108125203048,0.45241786873559486
Tijara,191.7331,700.7541889610978,0.2736096380447667
Kishangarh Bas,140.3613,393.5921129489121,0.3566161398620779
Ramgarh,237.0863,676.0,0.35071937869822484
Alwar,481.8932,1201.585292841908,0.401047851426559
Bansur,180.9733,702.0360122573727,0.2577834994790176
Thanagazi,199.6341,822.3826801221458,0.242750856535973
Rajgarh,231.8861,2209.157456095914,0.1049658544528536
Rajgarh,231.8861,1208.263178724114,0.19191688043068902
Lachhmangarh,127.2077,514.0,0.24748579766536966
Lachhmangarh,127.2077,1221.7471857566836,0.10411949500109917
Kathumar,184.9545,509.2249790144808,0.36320783076656665
Pahari,32.6867,386.82170443578224,0.08450068759113916
Kaman,72.3224,358.01185963563825,0.20201118497472445
Nagar,56.3552,472.8777586731586,0.11917498542990541
Deeg,29.2359,505.4327795528315,0.057843300202780085
Nadbai,199.4737,446.9831340346425,0.4462667264410478
Kumher,127.7113,448.8609092988938,0.2845231058313385
Bharatpur,381.0672,501.490488942801,0.759869246579996
Weir,219.4714,606.4384147614024,0.3619022058263723
Bayana,193.9263,778.5608976851289,0.24908302045041703
Rupbas,172.6499,560.5314780524945,0.3080110694226366
Baseri,2.364,999.944603926822,0.00236413096357186
Bari,124.2961,793.7714218578295,0.15658928575317538
Sepau,75.0915,312.3788911225057,0.2403859611965629
Dhaulpur,185.9245,523.7315736623449,0.3549996016086428
Rajakhera,60.153,403.1810356494929,0.14919600546959816
Todabhim,244.7637,596.2888455856466,0.4104784146341102
Nadoti,194.7771,712.6615671546044,0.27330939253210096
Hindaun,286.5375,700.5891393698965,0.4089950641508791
Karauli,365.1888,1383.7606322197555,0.26391038413499557
Mandrail,88.0023,632.8830353890562,0.13904986400196648
Sapotra,256.4238,1497.8148080552269,0.17119860120286998
Gangapur,214.0124,571.7906045702537,0.37428456901779183
